Season,Club,players_used,avg_age,possession,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
2000-2001,West Ham,34,27.0,,409,,,45,30,41,4,4,70,2,1.18,0.79,1.97,1.08,1.87,,,,,,,,,
2001-2002,Arsenal,25,27.3,,431,,,79,54,73,6,7,77,6,2.08,1.42,3.50,1.92,3.34,,,,,,,,,
2001-2002,Aston Villa,22,27.2,,410,,,44,38,42,2,2,41,2,1.16,1.00,2.16,1.11,2.11,,,,,,,,,
2001-2002,Blackburn,25,27.2,,416,,,54,39,53,1,1,57,4,1.42,1.03,2.45,1.39,2.42,,,,,,,,,
2001-2002,Bolton,30,28.5,,407,,,42,25,42,0,1,57,6,1.11,0.66,1.76,1.11,1.76,,,,,,,,,
2001-2002,Charlton Ath,25,26.6,,418,,,36,25,36,0,1,63,3,0.95,0.66,1.61,0.95,1.61,,,,,,,,,
2001-2002,Chelsea,25,26.8,,411,,,65,43,62,3,3,63,2,1.71,1.13,2.84,1.63,2.76,,,,,,,,,
2001-2002,Derby County,32,26.1,,409,,,33,23,31,2,5,71,2,0.87,0.61,1.47,0.82,1.42,,,,,,,,,
2001-2002,Everton,28,28.0,,401,,,44,31,41,3,3,58,4,1.16,0.82,1.97,1.08,1.89,,,,,,,,,
2001-2002,Fulham,24,27.7,,415,,,35,28,34,1,3,53,1,0.92,0.74,1.66,0.89,1.63,,,,,,,,,
2001-2002,Ipswich Town,26,27.2,,410,,,41,32,40,1,3,42,1,1.08,0.84,1.92,1.05,1.89,,,,,,,,,
2001-2002,Leeds United,21,25.9,,433,,,54,46,53,1,2,70,5,1.42,1.21,2.63,1.39,2.61,,,,,,,,,
2001-2002,Leicester City,33,27.3,,415,,,29,21,27,2,4,74,3,0.76,0.55,1.32,0.71,1.26,,,,,,,,,
2001-2002,Liverpool,27,25.5,,418,,,63,51,62,1,3,45,2,1.66,1.34,3.00,1.63,2.97,,,,,,,,,
2001-2002,Manchester Utd,28,27.5,,402,,,81,56,76,5,5,53,1,2.13,1.47,3.61,2.00,3.47,,,,,,,,,
2001-2002,Middlesbrough,34,28.1,,409,,,33,21,31,2,3,54,7,0.87,0.55,1.42,0.82,1.37,,,,,,,,,
2001-2002,Newcastle Utd,22,25.5,,390,,,72,53,67,5,7,48,2,1.89,1.39,3.29,1.76,3.16,,,,,,,,,
2001-2002,Southampton,29,27.5,,390,,,42,30,38,4,4,33,3,1.11,0.79,1.89,1.00,1.79,,,,,,,,,
2001-2002,Sunderland,25,26.6,,415,,,29,19,28,1,3,66,1,0.76,0.50,1.26,0.74,1.24,,,,,,,,,
2001-2002,Tottenham,24,28.9,,411,,,48,33,45,3,3,59,4,1.26,0.87,2.13,1.18,2.05,,,,,,,,,
2001-2002,West Ham,28,27.4,,419,,,48,34,44,4,5,67,3,1.26,0.89,2.16,1.16,2.05,,,,,,,,,
2002-2003,Arsenal,28,27.8,,418,,,84,66,79,5,6,47,2,2.21,1.74,3.95,2.08,3.82,,,,,,,,,
2002-2003,Aston Villa,27,26.2,,418,,,42,29,39,3,4,58,4,1.11,0.76,1.87,1.03,1.79,,,,,,,,,
2002-2003,Birmingham City,33,27.9,,418,,,40,26,36,4,5,66,3,1.05,0.68,1.74,0.95,1.63,,,,,,,,,
2002-2003,Blackburn,28,27.7,,418,,,50,38,45,5,6,55,4,1.32,1.00,2.32,1.18,2.18,,,,,,,,,
2002-2003,Bolton,27,29.1,,418,,,38,24,37,1,2,54,3,1.00,0.63,1.63,0.97,1.61,,,,,,,,,
2002-2003,Charlton Ath,26,27.0,,420,,,43,24,39,4,5,47,1,1.13,0.63,1.76,1.03,1.66,,,,,,,,,
2002-2003,Chelsea,23,27.8,,416,,,67,40,64,3,3,54,1,1.76,1.05,2.82,1.68,2.74,,,,,,,,,
2002-2003,Everton,28,27.4,,392,,,48,32,44,4,4,39,5,1.26,0.84,2.11,1.16,2.00,,,,,,,,,
2002-2003,Fulham,27,27.3,,417,,,38,23,32,6,7,46,6,1.00,0.61,1.61,0.84,1.45,,,,,,,,,
2002-2003,Leeds United,28,25.8,,401,,,54,39,50,4,5,62,1,1.42,1.03,2.45,1.32,2.34,,,,,,,,,
2002-2003,Liverpool,23,24.9,,418,,,61,49,57,4,6,35,1,1.61,1.29,2.89,1.50,2.79,,,,,,,,,
2002-2003,Manchester City,26,27.8,,419,,,47,40,45,2,2,40,5,1.24,1.05,2.29,1.18,2.24,,,,,,,,,
2002-2003,Manchester Utd,26,27.0,,418,,,73,56,64,9,9,39,1,1.92,1.47,3.39,1.68,3.16,,,,,,,,,
2002-2003,Middlesbrough,29,26.4,,418,,,48,31,46,2,3,43,4,1.26,0.82,2.08,1.21,2.03,,,,,,,,,
2002-2003,Newcastle Utd,25,24.9,,420,,,63,42,60,3,4,40,2,1.66,1.11,2.76,1.58,2.68,,,,,,,,,
2002-2003,Southampton,25,27.2,,417,,,42,24,36,6,6,33,3,1.11,0.63,1.74,0.95,1.58,,,,,,,,,
2002-2003,Sunderland,34,26.0,,413,,,21,16,20,1,3,47,0,0.55,0.42,0.97,0.53,0.95,,,,,,,,,
2002-2003,Tottenham,24,28.0,,414,,,50,35,47,3,3,50,4,1.32,0.92,2.24,1.24,2.16,,,,,,,,,
2002-2003,West Brom,23,27.2,,418,,,29,11,28,1,1,45,4,0.76,0.29,1.05,0.74,1.03,,,,,,,,,
2002-2003,West Ham,24,27.4,,422,,,41,29,37,4,5,49,4,1.08,0.76,1.84,0.97,1.74,,,,,,,,,
2003-2004,Arsenal,22,27.3,,419,,,69,52,62,7,7,51,3,1.82,1.37,3.18,1.63,3.00,,,,,,,,,
2003-2004,Aston Villa,23,25.7,,418,,,48,34,44,4,5,52,3,1.26,0.89,2.16,1.16,2.05,,,,,,,,,
2003-2004,Birmingham City,27,27.4,,428,,,43,29,39,4,5,45,5,1.13,0.76,1.89,1.03,1.79,,,,,,,,,
2003-2004,Blackburn,28,28.2,,412,,,52,39,52,0,0,58,3,1.37,1.03,2.39,1.37,2.39,,,,,,,,,
2003-2004,Bolton,24,28.5,,433,,,47,35,46,1,1,63,0,1.24,0.92,2.16,1.21,2.13,,,,,,,,,
2003-2004,Charlton Ath,24,28.2,,406,,,50,29,44,6,8,35,3,1.32,0.76,2.08,1.16,1.92,,,,,,,,,
2003-2004,Chelsea,27,25.9,,438,,,67,58,63,4,4,44,3,1.76,1.53,3.29,1.66,3.18,,,,,,,,,
2003-2004,Everton,26,27.3,,414,,,42,31,41,1,1,53,3,1.11,0.82,1.92,1.08,1.89,,,,,,,,,
2003-2004,Fulham,30,27.1,,421,,,52,32,50,2,3,59,3,1.37,0.84,2.21,1.32,2.16,,,,,,,,,
2003-2004,Leeds United,29,25.2,,404,,,40,28,36,4,4,70,5,1.05,0.74,1.79,0.95,1.68,,,,,,,,,
2003-2004,Leicester City,28,29.4,,391,,,45,37,43,2,3,58,8,1.18,0.97,2.16,1.13,2.11,,,,,,,,,
2003-2004,Liverpool,24,26.0,,408,,,53,36,45,8,10,46,1,1.39,0.95,2.34,1.18,2.13,,,,,,,,,
2003-2004,Manchester City,24,27.9,,418,,,52,37,48,4,4,46,3,1.37,0.97,2.34,1.26,2.24,,,,,,,,,
2003-2004,Manchester Utd,22,25.8,,418,,,63,54,62,1,4,42,3,1.66,1.42,3.08,1.63,3.05,,,,,,,,,
2003-2004,Middlesbrough,27,27.6,,418,,,42,28,39,3,5,52,1,1.11,0.74,1.84,1.03,1.76,,,,,,,,,
2003-2004,Newcastle Utd,23,25.7,,429,,,53,33,46,7,10,47,3,1.39,0.87,2.26,1.21,2.08,,,,,,,,,
2003-2004,Portsmouth,32,28.5,,433,,,49,31,46,3,3,60,3,1.29,0.82,2.11,1.21,2.03,,,,,,,,,
2003-2004,Southampton,27,27.9,,403,,,43,27,41,2,2,51,3,1.13,0.71,1.84,1.08,1.79,,,,,,,,,
2003-2004,Tottenham,27,26.3,,407,,,47,33,44,3,3,45,0,1.24,0.87,2.11,1.16,2.03,,,,,,,,,
2003-2004,Wolves,27,29.8,,428,,,39,25,38,1,4,65,2,1.03,0.66,1.68,1.00,1.66,,,,,,,,,
2004-2005,Arsenal,25,26.2,,417,,,86,68,83,3,4,46,1,2.26,1.79,4.05,2.18,3.97,,,,,,,,,
2004-2005,Aston Villa,22,25.7,,421,,,43,34,40,3,6,55,2,1.13,0.89,2.03,1.05,1.95,,,,,,,,,
2004-2005,Birmingham City,26,27.9,,417,,,37,24,35,2,2,62,3,0.97,0.63,1.61,0.92,1.55,,,,,,,,,
2004-2005,Blackburn,31,27.8,,414,,,31,24,29,2,3,73,5,0.82,0.63,1.45,0.76,1.39,,,,,,,,,
2004-2005,Bolton,25,28.6,,418,,,49,33,44,5,6,58,2,1.29,0.87,2.16,1.16,2.03,,,,,,,,,
2004-2005,Charlton Ath,21,28.0,,414,,,41,28,41,0,0,38,4,1.08,0.74,1.82,1.08,1.82,,,,,,,,,
2004-2005,Chelsea,30,25.2,,422,,,71,58,66,5,6,49,0,1.87,1.53,3.39,1.74,3.26,,,,,,,,,
2004-2005,Crystal Palace,27,25.7,,418,,,43,26,33,10,12,58,3,1.13,0.68,1.82,0.87,1.55,,,,,,,,,
2004-2005,Everton,21,28.5,,414,,,45,34,43,2,3,56,4,1.18,0.89,2.08,1.13,2.03,,,,,,,,,
2004-2005,Fulham,24,27.7,,418,,,52,39,50,2,4,56,7,1.37,1.03,2.39,1.32,2.34,,,,,,,,,
2004-2005,Liverpool,28,26.2,,414,,,49,42,46,3,5,46,2,1.29,1.11,2.39,1.21,2.32,,,,,,,,,
2004-2005,Manchester City,25,27.3,,418,,,45,33,40,5,6,44,3,1.18,0.87,2.05,1.05,1.92,,,,,,,,,
2004-2005,Manchester Utd,24,26.1,,416,,,57,45,54,3,4,56,5,1.50,1.18,2.68,1.42,2.61,,,,,,,,,
2004-2005,Middlesbrough,27,28.4,,418,,,49,39,48,1,1,54,2,1.29,1.03,2.32,1.26,2.29,,,,,,,,,
2004-2005,Newcastle Utd,27,26.0,,435,,,44,32,41,3,3,63,5,1.16,0.84,2.00,1.08,1.92,,,,,,,,,
2004-2005,Norwich City,25,27.6,,422,,,41,29,38,3,4,36,2,1.08,0.76,1.84,1.00,1.76,,,,,,,,,
2004-2005,Portsmouth,26,27.6,,386,,,41,30,35,6,6,52,2,1.08,0.79,1.87,0.92,1.71,,,,,,,,,
2004-2005,Southampton,35,28.4,,415,,,44,30,41,3,3,45,2,1.16,0.79,1.95,1.08,1.87,,,,,,,,,
2004-2005,Tottenham,28,24.7,,412,,,47,32,46,1,1,55,1,1.24,0.84,2.08,1.21,2.05,,,,,,,,,
2004-2005,West Brom,27,27.2,,422,,,34,25,32,2,3,41,5,0.89,0.66,1.55,0.84,1.50,,,,,,,,,
2005-2006,Arsenal,27,26.2,,418,,,66,46,62,4,7,55,2,1.74,1.21,2.95,1.63,2.84,,,,,,,,,
2005-2006,Aston Villa,26,25.2,,416,,,41,35,40,1,4,63,2,1.08,0.92,2.00,1.05,1.97,,,,,,,,,
2005-2006,Birmingham City,30,28.0,,417,,,26,19,24,2,2,53,7,0.68,0.50,1.18,0.63,1.13,,,,,,,,,
2005-2006,Blackburn,23,27.9,,418,,,49,29,45,4,4,78,6,1.29,0.76,2.05,1.18,1.95,,,,,,,,,
2005-2006,Bolton,24,28.0,,419,,,47,33,45,2,4,64,3,1.24,0.87,2.11,1.18,2.05,,,,,,,,,
2005-2006,Charlton Ath,27,27.9,,422,,,41,29,37,4,4,44,2,1.08,0.76,1.84,0.97,1.74,,,,,,,,,
2005-2006,Chelsea,25,25.9,,418,,,71,50,67,4,4,64,5,1.87,1.32,3.18,1.76,3.08,,,,,,,,,
2005-2006,Everton,27,28.0,,422,,,32,25,31,1,3,66,7,0.84,0.66,1.50,0.82,1.47,,,,,,,,,
2005-2006,Fulham,27,27.9,,417,,,47,35,43,4,4,65,2,1.24,0.92,2.16,1.13,2.05,,,,,,,,,
2005-2006,Liverpool,22,26.3,,415,,,54,42,50,4,5,50,5,1.42,1.11,2.53,1.32,2.42,,,,,,,,,
2005-2006,Manchester City,26,27.3,,418,,,42,31,41,1,2,70,4,1.11,0.82,1.92,1.08,1.89,,,,,,,,,
2005-2006,Manchester Utd,26,26.4,,417,,,68,50,66,2,3,61,2,1.79,1.32,3.11,1.74,3.05,,,,,,,,,
2005-2006,Middlesbrough,37,26.5,,413,,,48,34,43,5,5,54,3,1.26,0.89,2.16,1.13,2.03,,,,,,,,,
2005-2006,Newcastle Utd,25,26.8,,414,,,45,31,40,5,5,64,6,1.18,0.82,2.00,1.05,1.87,,,,,,,,,
2005-2006,Portsmouth,33,26.7,,419,,,36,22,34,2,2,55,1,0.95,0.58,1.53,0.89,1.47,,,,,,,,,
2005-2006,Sunderland,27,24.8,,410,,,24,15,22,2,2,69,4,0.63,0.39,1.03,0.58,0.97,,,,,,,,,
2005-2006,Tottenham,25,24.9,,414,,,52,38,48,4,6,51,5,1.37,1.00,2.37,1.26,2.26,,,,,,,,,
2005-2006,West Brom,29,26.4,,418,,,31,18,30,1,2,47,2,0.82,0.47,1.29,0.79,1.26,,,,,,,,,
2005-2006,West Ham,28,26.0,,415,,,48,29,45,3,5,50,2,1.26,0.76,2.03,1.18,1.95,,,,,,,,,
2005-2006,Wigan Athletic,25,28.3,,420,,,44,30,43,1,1,54,4,1.16,0.79,1.95,1.13,1.92,,,,,,,,,
2006-2007,Arsenal,24,25.1,,417,,,60,48,50,10,11,51,3,1.58,1.26,2.84,1.32,2.58,,,,,,,,,
2006-2007,Aston Villa,30,25.5,,436,,,45,31,39,6,8,47,1,1.18,0.82,2.00,1.03,1.84,,,,,,,,,
2006-2007,Blackburn,28,28.2,,399,,,49,33,44,5,7,81,8,1.29,0.87,2.16,1.16,2.03,,,,,,,,,
2006-2007,Bolton,23,28.2,,423,,,45,35,39,6,7,84,4,1.18,0.92,2.11,1.03,1.95,,,,,,,,,
2006-2007,Charlton Ath,29,27.1,,429,,,32,22,28,4,4,60,4,0.84,0.58,1.42,0.74,1.32,,,,,,,,,
2006-2007,Chelsea,26,26.7,,418,,,58,49,55,3,4,65,4,1.53,1.29,2.82,1.45,2.74,,,,,,,,,
2006-2007,Everton,24,26.9,,411,,,50,35,42,8,8,70,2,1.32,0.92,2.24,1.11,2.03,,,,,,,,,
2006-2007,Fulham,24,28.2,,424,,,36,27,33,3,3,60,3,0.95,0.71,1.66,0.87,1.58,,,,,,,,,
2006-2007,Liverpool,28,26.1,,419,,,56,44,50,6,7,43,0,1.47,1.16,2.63,1.32,2.47,,,,,,,,,
2006-2007,Manchester City,28,26.0,,394,,,28,21,26,2,4,58,4,0.74,0.55,1.29,0.68,1.24,,,,,,,,,
2006-2007,Manchester Utd,25,27.3,,418,,,80,60,75,5,6,58,1,2.11,1.58,3.68,1.97,3.55,,,,,,,,,
2006-2007,Middlesbrough,27,25.4,,418,,,43,33,39,4,5,65,2,1.13,0.87,2.00,1.03,1.89,,,,,,,,,
2006-2007,Newcastle Utd,29,26.1,,418,,,38,26,33,5,5,69,1,1.00,0.68,1.68,0.87,1.55,,,,,,,,,
2006-2007,Portsmouth,22,28.4,,405,,,40,31,38,2,3,51,1,1.05,0.82,1.87,1.00,1.82,,,,,,,,,
2006-2007,Reading,23,26.9,,418,,,48,38,45,3,3,41,3,1.26,1.00,2.26,1.18,2.18,,,,,,,,,
2006-2007,Sheffield Utd,32,26.0,,408,,,31,21,29,2,4,71,2,0.82,0.55,1.37,0.76,1.32,,,,,,,,,
2006-2007,Tottenham,26,25.1,,418,,,56,37,51,5,5,51,4,1.47,0.97,2.45,1.34,2.32,,,,,,,,,
2006-2007,Watford,32,25.2,,390,,,24,18,21,3,3,48,2,0.63,0.47,1.11,0.55,1.03,,,,,,,,,
2006-2007,West Ham,29,25.6,,442,,,35,26,34,1,3,86,2,0.92,0.68,1.61,0.89,1.58,,,,,,,,,
2006-2007,Wigan Athletic,29,27.7,,415,,,37,24,34,3,6,81,3,0.97,0.63,1.61,0.89,1.53,,,,,,,,,
2007-2008,Arsenal,27,24.6,,418,,,73,57,68,5,6,57,3,1.92,1.50,3.42,1.79,3.29,,,,,,,,,
2007-2008,Aston Villa,22,25.5,,418,,,66,42,60,6,7,56,4,1.74,1.11,2.84,1.58,2.68,,,,,,,,,
2007-2008,Birmingham City,28,25.3,,418,,,44,21,38,6,6,68,3,1.16,0.55,1.71,1.00,1.55,,,,,,,,,
2007-2008,Blackburn,22,28.0,,418,,,50,32,45,5,6,74,6,1.32,0.84,2.16,1.18,2.03,,,,,,,,,
2007-2008,Bolton,31,27.5,,417,,,34,22,34,0,1,76,0,0.89,0.58,1.47,0.89,1.47,,,,,,,,,
2007-2008,Chelsea,26,27.1,,417,,,64,52,57,7,7,65,5,1.68,1.37,3.05,1.50,2.87,,,,,,,,,
2007-2008,Derby County,36,27.6,,418,,,19,12,19,0,0,63,1,0.50,0.32,0.82,0.50,0.82,,,,,,,,,
2007-2008,Everton,23,26.9,,420,,,53,30,52,1,1,40,3,1.39,0.79,2.18,1.37,2.16,,,,,,,,,
2007-2008,Fulham,33,28.0,,418,,,37,17,35,2,3,60,6,0.97,0.45,1.42,0.92,1.37,,,,,,,,,
2007-2008,Liverpool,25,26.2,,418,,,64,43,59,5,5,46,1,1.68,1.13,2.82,1.55,2.68,,,,,,,,,
2007-2008,Manchester City,28,24.5,,418,,,42,30,40,2,2,51,4,1.11,0.79,1.89,1.05,1.84,,,,,,,,,
2007-2008,Manchester Utd,25,26.7,,418,,,78,52,72,6,8,51,2,2.05,1.37,3.42,1.89,3.26,,,,,,,,,
2007-2008,Middlesbrough,29,25.7,,416,,,43,27,41,2,2,86,2,1.13,0.71,1.84,1.08,1.79,,,,,,,,,
2007-2008,Newcastle Utd,26,27.0,,419,,,43,27,39,4,4,66,1,1.13,0.71,1.84,1.03,1.74,,,,,,,,,
2007-2008,Portsmouth,28,28.2,,419,,,46,32,42,4,7,58,3,1.21,0.84,2.05,1.11,1.95,,,,,,,,,
2007-2008,Reading,26,27.6,,418,,,41,26,39,2,4,61,5,1.08,0.68,1.76,1.03,1.71,,,,,,,,,
2007-2008,Sunderland,31,24.9,,418,,,36,21,35,1,2,67,4,0.95,0.55,1.50,0.92,1.47,,,,,,,,,
2007-2008,Tottenham,30,25.5,,418,,,65,35,61,4,6,52,1,1.71,0.92,2.63,1.61,2.53,,,,,,,,,
2007-2008,West Ham,28,26.5,,418,,,39,29,37,2,2,66,2,1.03,0.76,1.79,0.97,1.74,,,,,,,,,
2007-2008,Wigan Athletic,27,27.7,,418,,,33,19,29,4,5,60,4,0.87,0.50,1.37,0.76,1.26,,,,,,,,,
2008-2009,Arsenal,28,24.1,,418,,,65,48,60,5,5,58,3,1.71,1.26,2.97,1.58,2.84,,,,,,,,,
2008-2009,Aston Villa,21,27.1,,418,,,48,35,44,4,5,53,2,1.26,0.92,2.18,1.16,2.08,,,,,,,,,
2008-2009,Blackburn,28,28.3,,418,,,40,28,36,4,7,73,4,1.05,0.74,1.79,0.95,1.68,,,,,,,,,
2008-2009,Bolton,24,27.3,,418,,,40,28,40,0,1,62,1,1.05,0.74,1.79,1.05,1.79,,,,,,,,,
2008-2009,Chelsea,29,27.5,,418,,,65,45,63,2,2,50,2,1.71,1.18,2.89,1.66,2.84,,,,,,,,,
2008-2009,Everton,25,26.4,,417,,,54,38,50,4,5,49,1,1.42,1.00,2.42,1.32,2.32,,,,,,,,,
2008-2009,Fulham,26,28.8,,418,,,39,24,34,5,5,40,1,1.03,0.63,1.66,0.89,1.53,,,,,,,,,
2008-2009,Hull City,29,27.7,,418,,,35,17,32,3,3,70,3,0.92,0.45,1.37,0.84,1.29,,,,,,,,,
2008-2009,Liverpool,23,26.5,,418,,,73,50,68,5,6,50,0,1.92,1.32,3.24,1.79,3.11,,,,,,,,,
2008-2009,Manchester City,34,24.5,,418,,,56,35,50,6,7,49,4,1.47,0.92,2.39,1.32,2.24,,,,,,,,,
2008-2009,Manchester Utd,33,27.1,,418,,,68,51,64,4,4,61,5,1.79,1.34,3.13,1.68,3.03,,,,,,,,,
2008-2009,Middlesbrough,28,24.5,,418,,,26,17,25,1,3,54,3,0.68,0.45,1.13,0.66,1.11,,,,,,,,,
2008-2009,Newcastle Utd,29,26.8,,417,,,39,23,35,4,5,57,8,1.03,0.61,1.63,0.92,1.53,,,,,,,,,
2008-2009,Portsmouth,29,28.6,,417,,,36,25,34,2,3,57,5,0.95,0.66,1.61,0.89,1.55,,,,,,,,,
2008-2009,Stoke City,29,28.5,,418,,,36,23,31,5,6,73,5,0.95,0.61,1.55,0.82,1.42,,,,,,,,,
2008-2009,Sunderland,30,26.1,,418,,,32,19,31,1,1,69,1,0.84,0.50,1.34,0.82,1.32,,,,,,,,,
2008-2009,Tottenham,29,24.9,,418,,,43,30,40,3,4,54,5,1.13,0.79,1.92,1.05,1.84,,,,,,,,,
2008-2009,West Brom,30,25.2,,418,,,34,23,31,3,5,66,1,0.89,0.61,1.50,0.82,1.42,,,,,,,,,
2008-2009,West Ham,30,26.6,,418,,,41,25,40,1,3,66,4,1.08,0.66,1.74,1.05,1.71,,,,,,,,,
2008-2009,Wigan Athletic,29,26.5,,418,,,33,15,28,5,5,59,4,0.87,0.39,1.26,0.74,1.13,,,,,,,,,
2009-2010,Arsenal,30,25.3,,418,,,79,53,76,3,4,56,1,2.08,1.39,3.47,2.00,3.39,,,,,,,,,
2009-2010,Aston Villa,23,27.9,,418,,,48,34,43,5,8,58,2,1.26,0.89,2.16,1.13,2.03,,,,,,,,,
2009-2010,Birmingham City,25,26.8,,418,,,36,22,34,2,4,73,1,0.95,0.58,1.53,0.89,1.47,,,,,,,,,
2009-2010,Blackburn,28,27.3,,417,,,38,22,35,3,3,57,2,1.00,0.58,1.58,0.92,1.50,,,,,,,,,
2009-2010,Bolton,25,27.4,,418,,,42,24,38,4,4,72,5,1.11,0.63,1.74,1.00,1.63,,,,,,,,,
2009-2010,Burnley,27,27.9,,418,,,42,25,36,6,6,55,2,1.11,0.66,1.76,0.95,1.61,,,,,,,,,
2009-2010,Chelsea,30,28.7,,418,,,99,64,88,11,12,54,5,2.61,1.68,4.29,2.32,4.00,,,,,,,,,
2009-2010,Everton,28,27.4,,418,,,56,33,51,5,6,57,2,1.47,0.87,2.34,1.34,2.21,,,,,,,,,
2009-2010,Fulham,29,29.2,,418,,,38,21,34,4,4,46,1,1.00,0.55,1.55,0.89,1.45,,,,,,,,,
2009-2010,Hull City,30,27.7,,418,,,33,16,27,6,8,63,6,0.87,0.42,1.29,0.71,1.13,,,,,,,,,
2009-2010,Liverpool,30,26.3,,418,,,58,37,55,3,3,55,5,1.53,0.97,2.50,1.45,2.42,,,,,,,,,
2009-2010,Manchester City,31,27.0,,418,,,73,48,68,5,5,49,2,1.92,1.26,3.18,1.79,3.05,,,,,,,,,
2009-2010,Manchester Utd,30,27.8,,418,,,74,48,68,6,8,48,4,1.95,1.26,3.21,1.79,3.05,,,,,,,,,
2009-2010,Portsmouth,33,28.2,,418,,,34,19,31,3,6,68,5,0.89,0.50,1.39,0.82,1.32,,,,,,,,,
2009-2010,Stoke City,23,28.5,,418,,,32,23,30,2,2,62,5,0.84,0.61,1.45,0.79,1.39,,,,,,,,,
2009-2010,Sunderland,28,25.4,,418,,,45,28,39,6,9,78,9,1.18,0.74,1.92,1.03,1.76,,,,,,,,,
2009-2010,Tottenham,30,25.4,,418,,,66,45,64,2,3,57,1,1.74,1.18,2.92,1.68,2.87,,,,,,,,,
2009-2010,West Ham,30,26.0,,418,,,46,27,39,7,9,63,3,1.21,0.71,1.92,1.03,1.74,,,,,,,,,
2009-2010,Wigan Athletic,27,26.3,,418,,,36,21,35,1,2,63,3,0.95,0.55,1.50,0.92,1.47,,,,,,,,,
2009-2010,Wolves,29,25.9,,418,,,28,15,26,2,2,61,4,0.74,0.39,1.13,0.68,1.08,,,,,,,,,
2010-2011,Arsenal,27,24.8,,418,,,70,51,66,4,7,65,6,1.84,1.34,3.18,1.74,3.08,,,,,,,,,
2010-2011,Aston Villa,32,27.5,,418,,,45,32,41,4,6,70,2,1.18,0.84,2.03,1.08,1.92,,,,,,,,,
2010-2011,Birmingham City,26,28.0,,418,,,37,23,35,2,2,56,3,0.97,0.61,1.58,0.92,1.53,,,,,,,,,
2010-2011,Blackburn,29,27.8,,418,,,43,28,42,1,2,64,5,1.13,0.74,1.87,1.11,1.84,,,,,,,,,
2010-2011,Blackpool,30,26.8,,418,,,54,29,47,7,8,47,2,1.42,0.76,2.18,1.24,2.00,,,,,,,,,
2010-2011,Bolton,24,28.1,,418,,,50,34,46,4,5,66,5,1.32,0.89,2.21,1.21,2.11,,,,,,,,,
