Season,Club,o_players_used,o_avg_age,o_possession,o_games_starts,o_minutes,o_minutes_90s,o_goals,o_assists,o_goals_pens,o_pens_made,o_pens_att,o_cards_yellow,o_cards_red,o_goals_per90,o_assists_per90,o_goals_assists_per90,o_goals_pens_per90,o_goals_assists_pens_per90,o_xg,o_npxg,o_xa,o_npxg_xa,o_xg_per90,o_xa_per90,o_xg_xa_per90,o_npxg_per90,o_npxg_xa_per90
2002-2003,Manchester Utd,26,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Middlesbrough,29,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Newcastle Utd,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Southampton,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Sunderland,34,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Tottenham,24,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,West Brom,23,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,West Ham,24,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Arsenal,22,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Aston Villa,23,27.4,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Birmingham City,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Blackburn,28,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Bolton,24,27.4,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Charlton Ath,24,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Chelsea,27,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Everton,26,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Fulham,30,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Leeds United,29,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Leicester City,28,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Liverpool,24,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Manchester City,24,27.4,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Manchester Utd,22,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Middlesbrough,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Newcastle Utd,23,27.5,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Portsmouth,32,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Southampton,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Tottenham,27,27.6,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,Wolves,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Arsenal,25,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Aston Villa,22,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Birmingham City,26,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Blackburn,31,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Bolton,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Charlton Ath,21,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Chelsea,30,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Crystal Palace,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Everton,21,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Fulham,24,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Liverpool,28,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Manchester City,25,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Manchester Utd,24,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Middlesbrough,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Newcastle Utd,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Norwich City,25,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Portsmouth,26,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Southampton,35,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,Tottenham,28,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,West Brom,27,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Arsenal,27,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Aston Villa,26,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Birmingham City,30,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Blackburn,23,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Bolton,24,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Charlton Ath,27,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Chelsea,25,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Everton,27,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Fulham,27,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Liverpool,22,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Manchester City,26,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Manchester Utd,26,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Middlesbrough,37,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Newcastle Utd,25,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Portsmouth,33,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Sunderland,27,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Tottenham,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,West Brom,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,West Ham,28,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,Wigan Athletic,25,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Arsenal,24,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Aston Villa,30,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Blackburn,28,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Bolton,23,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Charlton Ath,29,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Chelsea,26,26.3,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Everton,24,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Fulham,24,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Liverpool,28,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Manchester City,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Manchester Utd,25,26.3,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Middlesbrough,27,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Newcastle Utd,29,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Portsmouth,22,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Reading,23,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Sheffield Utd,32,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Tottenham,26,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Watford,32,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,West Ham,29,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,Wigan Athletic,29,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Arsenal,27,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Aston Villa,22,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Birmingham City,28,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Blackburn,22,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Bolton,31,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Chelsea,26,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Derby County,36,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Everton,23,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Fulham,33,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Liverpool,25,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Manchester City,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Manchester Utd,25,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Middlesbrough,29,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Newcastle Utd,26,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Portsmouth,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Reading,26,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Sunderland,31,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Tottenham,30,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,West Ham,28,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,Wigan Athletic,27,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Arsenal,28,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Aston Villa,21,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Blackburn,28,26.4,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Bolton,24,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Chelsea,29,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Everton,25,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Fulham,26,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Hull City,29,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Liverpool,23,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Manchester City,34,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Manchester Utd,33,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Middlesbrough,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Newcastle Utd,29,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Portsmouth,29,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Stoke City,29,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Sunderland,30,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Tottenham,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,West Brom,30,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,West Ham,30,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Wigan Athletic,29,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Arsenal,30,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Aston Villa,23,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Birmingham City,25,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Blackburn,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bolton,25,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Burnley,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Chelsea,30,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Everton,28,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Fulham,29,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Hull City,30,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Liverpool,30,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Manchester City,31,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Manchester Utd,30,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Portsmouth,33,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Stoke City,23,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Sunderland,28,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Tottenham,30,27.4,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,West Ham,30,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Wigan Athletic,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Wolves,29,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Arsenal,27,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Aston Villa,32,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Birmingham City,26,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Blackburn,29,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Blackpool,30,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bolton,24,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Chelsea,24,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Everton,24,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Fulham,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Liverpool,30,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Manchester City,27,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Manchester Utd,29,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Newcastle Utd,30,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Stoke City,25,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Sunderland,31,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Tottenham,28,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,West Brom,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,West Ham,35,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Wigan Athletic,25,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Wolves,30,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Arsenal,32,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Aston Villa,27,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Blackburn,31,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Bolton,30,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Chelsea,29,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Everton,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Fulham,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Liverpool,26,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Manchester City,24,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Manchester Utd,31,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Newcastle Utd,26,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Norwich City,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,QPR,34,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Stoke City,23,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Sunderland,28,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Swansea City,25,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Tottenham,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,West Brom,25,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Wigan Athletic,23,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,Wolves,32,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Arsenal,26,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Aston Villa,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Chelsea,26,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Everton,23,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Fulham,29,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Liverpool,28,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Manchester City,25,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Manchester Utd,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Newcastle Utd,32,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Norwich City,27,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,QPR,30,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Reading,28,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Southampton,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Stoke City,24,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Sunderland,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Swansea City,25,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Tottenham,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,West Brom,25,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,West Ham,26,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Wigan Athletic,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Arsenal,27,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Aston Villa,26,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Cardiff City,32,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Chelsea,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Crystal Palace,31,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Everton,28,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Fulham,39,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Hull City,27,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Liverpool,25,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Manchester City,23,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Manchester Utd,30,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Newcastle Utd,26,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Norwich City,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Southampton,24,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Stoke City,26,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Sunderland,31,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Swansea City,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Tottenham,28,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,West Brom,28,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,West Ham,29,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,Arsenal,29,27.0,43.4,418,"3,420",38.0,35,24,32,3,3,82,3,0.92,0.63,1.55,0.84,1.47,,,,,,,,,
2014-2015,Aston Villa,27,27.0,51.0,418,"3,420",38.0,56,37,52,4,4,69,3,1.47,0.97,2.45,1.37,2.34,,,,,,,,,
2014-2015,Burnley,24,26.8,57.5,418,"3,420",38.0,51,38,48,3,5,67,2,1.34,1.00,2.34,1.26,2.26,,,,,,,,,
2014-2015,Chelsea,25,26.8,44.1,418,"3,420",38.0,31,25,28,3,3,93,7,0.82,0.66,1.47,0.74,1.39,,,,,,,,,
2014-2015,Crystal Palace,30,26.9,59.6,418,"3,420",38.0,51,31,47,4,6,68,1,1.34,0.82,2.16,1.24,2.05,,,,,,,,,
2014-2015,Everton,28,26.8,45.3,418,"3,420",38.0,48,31,44,4,4,87,3,1.26,0.82,2.08,1.16,1.97,,,,,,,,,
2014-2015,Hull City,29,27.1,55.8,418,"3,420",38.0,50,34,49,1,3,77,4,1.32,0.89,2.21,1.29,2.18,,,,,,,,,
2014-2015,Leicester City,28,26.9,56.5,418,"3,420",38.0,50,32,47,3,4,63,6,1.32,0.84,2.16,1.24,2.08,,,,,,,,,
2014-2015,Liverpool,25,26.8,44.2,418,"3,420",38.0,47,29,46,1,3,87,4,1.24,0.76,2.00,1.21,1.97,,,,,,,,,
2014-2015,Manchester City,24,26.9,40.2,418,"3,420",38.0,35,22,32,3,4,59,3,0.92,0.58,1.50,0.84,1.42,,,,,,,,,
2014-2015,Manchester Utd,33,27.0,38.8,418,"3,420",38.0,36,25,33,3,4,73,4,0.95,0.66,1.61,0.87,1.53,,,,,,,,,
2014-2015,Newcastle Utd,27,26.9,52.3,418,"3,420",38.0,62,48,58,4,4,92,0,1.63,1.26,2.89,1.53,2.79,,,,,,,,,
2014-2015,QPR,32,27.0,54.8,418,"3,420",38.0,70,51,68,2,4,50,3,1.84,1.34,3.18,1.79,3.13,,,,,,,,,
2014-2015,Southampton,29,26.9,46.9,418,"3,420",38.0,33,25,31,2,2,54,3,0.87,0.66,1.53,0.82,1.47,,,,,,,,,
2014-2015,Stoke City,25,27.1,49.6,418,"3,420",38.0,45,28,40,5,5,67,5,1.18,0.74,1.92,1.05,1.79,,,,,,,,,
2014-2015,Sunderland,25,27.0,54.8,418,"3,420",38.0,49,33,45,4,4,71,4,1.29,0.87,2.16,1.18,2.05,,,,,,,,,
2014-2015,Swansea City,27,26.8,49.9,418,"3,420",38.0,48,33,46,2,2,81,3,1.26,0.87,2.13,1.21,2.08,,,,,,,,,
2014-2015,Tottenham,27,27.0,43.0,418,"3,420",38.0,52,34,47,5,7,79,4,1.37,0.89,2.26,1.24,2.13,,,,,,,,,
2014-2015,West Brom,26,26.8,56.3,418,"3,420",38.0,51,32,46,5,7,49,2,1.34,0.84,2.18,1.21,2.05,,,,,,,,,
